pageid,title
489818,A Friend in London
157530,Ache
255559,ADS (band)
976777,Agathorn
493993,Alabama Black Snakes
279528,The Alligators
119543,Alrune Rod
236565,Alter Ego (band)
81767,Amazonair
402863,Among Relatives
402867,Are We Brothers?
487179,Art in Disorder
484199,Avalyn
285162,Baal (musikgruppe)
968557,Baby in Vain
77908,Baby Woodrose
921835,Balance (band)
143307,Ballet Mécanique (band)
243106,Bamses Venner
143605,Beefeaters (band)
451743,Before
402870,Before The Show
463868,Beta Satan
37653,Bifrost (musikgruppe)
44135,Big Fat Snake
295013,Big Mama
1134918,Bitch Boys
424545,Black City
435609,Blue Sun
405812,The Blue Van
1050262,Blues Power
421199,Blunt (band)
969259,Boat Man Love
409946,Bodies Of Work
299905,Bollocks
686358,Bombay Rockers
303648,Brats
209815,The Breakers
395203,The Broken Beats
418711,The Bronson Brothers
653128,Buoyant Blue
501246,Cancer (band)
121899,Carpark North
448785,Chainsaw Eaters
974892,Charlatangruppen
178662,Christianshavns Bluesband
481670,The City Kill
451774,City-X
199043,Cola Freaks
402911,The Company
82549,Coolsville
459233,Culpeper's Orchard
200537,"Cy, Maia & Robert"
826862,Daisy (band)
563081,Dance with Dirt
905768,Day Of Phoenix
948279,De Forbandede
979006,De Underjordiske
379473,Dead End City
263144,Dear
976878,Death By Kite
668320,Death Valley Sleepers
139727,The Defenders
458130,Delta Blues Band
477720,Delta Cross Band
462520,Diamond Drive
402919,Diefenbach
147627,Diva (rock)
43911,Dizzy Mizz Lizzy
144454,Dream City
217706,Dream Police
117588,Düreforsög
410287,Einstein (rockband)
731858,Electric Guitars
256322,Elevatordrengene
376691,Entakt
1169195,Bruger:Epokeband/sandkasse
562518,Escape Artists
792529,Essence (band)
497612,Even Dwarfs
403315,Factory45
495489,Fahrenheit (dansk band)
206217,The Fashion
501263,Feed Back
540173,The Felines
87961,Figurines
1113815,First flush
219434,Five Tonnys
188771,Frank Rubino
191534,Frede Fup
238250,Free To Choose
971317,Fribytterdrømme (rockgruppe)
294803,Frodegruppen40
237238,Frogstone
1124509,Fräulein (band)
233031,Gangway
153093,Grand Avenue
204841,Granmakathryn
854972,Grumpynators
190188,Hackensack
917650,Halberg & Friends
469752,Hardinger Band
496641,Highway Child
201162,The Hitmakers
441247,Hola Ghost
175270,Hotel Hunger
435368,Hunch Bettors
100742,I Am Bones
404088,I Got You On Tape
479972,Iceage
179130,Jackie Boo Flight
393543,The Jesus Revolution
199063,Jetpetz
181702,Jomfru Ane Band
993708,Junkyard Drive
176895,Jupiter Day
1128406,Kalaset (band)
360791,Kellermensch
975788,Kick The Kangaroo
946445,The KillerHertz
502203,King Diamond (band)
404283,Kings Of Dark Disco
105478,Kira & The Kindred Spirits
58994,Kitty Wu
345811,Knasterne
147662,Kogt i Roen
142728,KoLeN'
469754,Krisekoret
689841,Kræn Bysted's
226757,Langsyne
404288,Lars & the Hands of Light
87957,Larsen and Furious Jane
344745,Last Mile
183110,Led Zeppelin Jam
141315,Les Rivals
203543,The Lips
161176,Lone Kellermann og Rockbandet
40930,Lost Kids
424538,Luksus (band)
90772,Magtens Korridorer
425194,Marquis de Sade (band)
202022,Matadorerne
143700,The Maxwells
452292,Melting Walkmen
204795,Melvis & His Gentlemen
397016,Menfolk
562990,"Mescalin, Baby"
139744,Midnight Sun (band)
462594,Mimas (musikgruppe)
146198,Miss B. Haven
868703,Mo-I-Rana (band)
191528,Molehill
499616,Monomania
407867,Monopol (band)
315280,Naïve
453033,The Naked
241211,Natural Born Hippies
440920,Nekromantix
782993,Nelson Can
56569,News
412945,Nikolaj & Piloterne
486563,No Knox
868069,No Name
134403,Oh No Ono
140182,Pan (musikgruppe)
205968,Parkering Forbudt
1000679,Passport (band)
112643,Peter og de andre kopier
969631,Phonovectra
230975,Picnic (band)
237330,Playhouse
126961,The Pockets
179120,The Poisons
235996,President Fetch
222043,Psyched Up Janis
239471,The Psyke Project
962546,Rabalder
825550,Ripe (band)
320404,Rock Hard Power Spray
219719,Rockmaskinen (band)
355105,Rod (band)
341234,Rubber Kizz
107191,Røde Mor
799675,Saint Rebel
116988,The Sandmen
416089,Savage Affair
315272,Scatterbrain
974839,Secret Oyster
646754,Shotgun Revolution
998645,Shubberne
398184,Sidste Ambulance
980663,Sing Sing Sing (band)
139362,Singvogel
173764,Sir Henry & His Butlers
380730,Skagarack
140167,Skousen & Ingemann
737309,Skullclub
409947,Small
218217,Snuff Pop Inc.
86212,Sods
300637,Sofamania
508423,Speak the King's
344854,Speaker Bite Me
826625,Spids Nøgenhat (band)
238690,Spillemændene
85917,Starfuckers
405790,Stoffer & Maskinen
151401,Street Beat
464802,SuperCharger
79854,Superheroes
90571,Superjeg
405792,Supershine
76926,Swan Lee
975477,Taggy Tones
1116772,The Cliffters
405829,The Olympics
1019406,The Poets
1120141,The Shout
405944,The William Blakes
405946,TheBoyTheManThePale
389024,TheCOMPANY
492544,Thulebasen (band)
976804,Tiger Tunes
405952,Twins Twins
139396,TYG
233049,UCR
536563,Ulige Numre
96709,Under Byen
944515,Velvet Volume
124738,VETO (band)
135600,Volbeat
739789,Voss Torp Brill
225166,Waking Life
121702,Walkers
405957,White Pony
280341,The Whiteouts
405958,WhoMadeWho
399120,Wolfkin
400033,Yellowish
139426,Young Flowers
1121376,Zar Paulo
686430,Brdr. Hellemann
1084349,Fjernsyn (band)
264898,Skabelon:Tolkien Ensemble
622855,4 Mand Høj
728866,5 x Kaj
435345,A Mothers Voice
1167229,Agitpop
28512,Alexanderband
692953,Alice & Rita
798355,Alpha Centauri
118012,Amdi Petersens Armé
206503,Analogik
1128727,Ancient Tribe
640581,Anima (band)
435382,Anna Teuila
119582,Anne Linnet Band
796672,Anti Social Media
787532,Aphyxion
140567,Asbest (band)
1138976,Asinhell
911503,Athelas Sinfonietta
120765,B-Boys
1157549,B.O.C
429427,Back to Back
413207,Backseat
445470,Bahnhof
271409,Balkan trioen
344297,Balstyrko
964321,Bandjo
411296,Basix
119589,Bazaar (band)
1051169,Bellybutton
918070,BengtssonSydow
47048,Bersærk
89426,Bikstok
469361,Bjørn & Okay
457936,Black Leather Machine
387230,Blast
166473,BliGlad
229485,Bliss
251169,Blue Boys
215299,Blue Foundation
504436,Blue Notes
435609,Blue Sun
325535,Blues Brothers Souvenir Show
421199,Blunt (band)
480178,Blåbærrene
259337,Den Danske Blæserkvintet
253105,Blæserkvintetten af 1932
487738,Danskbob
387451,Bodebrixen
524990,Boghandle
524583,Boho Dancer
464189,Boil
1065748,Boilers
387169,Boogie Blues Band
249345,Boolsen kvartetten
410623,Boom Clap Bachelors
120454,Borderline ensemble
79433,Bourbon Street Jazzband
154849,Brimstone Butterfly
351705,BRINT
339418,Brixx
89288,Brother Brown
147462,Buki Yamaz
143659,Cadentia Nova Danica
919940,Caper Clowns
267697,Cartoons
409945,Cartridge
196667,Catbird
479928,Champagne Riot
101079,Charlie Dee & The Twisters
492051,Chestnut Avenue
326572,Chineese letterbox
362152,Choir of Young Believers
800562,Citybois
218165,The Clochards
418713,Coco Moon
402904,Cody (band)
199043,Cola Freaks
153696,Compos Mentis
51243,Cool Kids
128310,Copenhagen Art Ensemble
1034111,Copenhagen Drummers
137948,Copenhagen Gospel Choir
156276,Copenhagen Showband
786495,Corona (dansk band)
446101,Cowgirls
897144,Cujorius One
200537,"Cy, Maia & Robert"
435379,Dafuniks
272128,Dandy Swingers
1120247,Danser Med Piger
485896,Darkness Falls
409967,Darling Don't Dance
251382,De 3 fra Radioen
1010542,De Må Være Belgiere
435351,Debutants Club
408144,Decorate Decorate
359892,Den Gule Negl
157441,Den Sorte Skole
1124049,Den Syvende Søn
183107,Det Brune Punktum
782149,Det Glemte Kvarter
389805,Det Jyske Ensemble
446853,Det Neodepressionistiske Danseorkester
293434,Det ny Tonefilmsorkester
175986,Die Dumme Dänen
305522,Die Herren
205972,Dieters Lieder
653620,Dig & Mig (duo)
196800,Dig og mig og solskin
994753,Dirt Forge
282610,Diskofil
395612,Djosos Krost
653802,Djämes Braun
360807,Dominus (band)
487943,DR Big Bandet
391842,Dr. Dopo Jam
484304,Drive-in (band)
686441,Drori-Hansen Furniture
440430,Drott & Marsk
346192,Dræsinebanden
486323,Dødning (band)
479034,E.T.A.
602205,EaggerStunn
653813,The Eclectic Moniker
106100,Efterklang (musikgruppe)
784325,Eggs Laid by Tigers
403296,Electric Lady Lab
257122,Electro Swingers
483939,Emily and The Orgasm Addicts
924820,Èn Over/Èn Under
246177,Engle for evigt
179958,Enola Gay (band)
389833,Ensemble 2000
474205,Entrance
117047,Epo-555
379300,Er de sjældne
857230,Esben Just Trio
969398,Everybody's Talking
487483,F.U.K.T.
403320,Fagget Fairys
486330,Faktaposen
477877,Fastpoholmen
14506,FemininuM
453323,FIGURA Ensemble
404059,Filur (band)
429303,The Fireflies
117935,Flipside
249329,Dansk Fløde
1022326,FOOL (musikduo)
154059,Four Jacks
700008,Freddy and the Phantoms
418985,The Freudian Slip
476437,Fu:el
1057576,Fyr og Flamme (musikduo)
1051023,Ganger
404070,Ghost Society
187596,Ghost Voo
404072,Giana Factory
974524,GinmanBlachmanDahl
728636,Go Go Berlin
160734,Gorilla Angreb
1159465,Gospel-kids
558522,Halberg Larsen
396083,Hammond Rens
1062514,Hans Mosters Vovse
488994,Harmoniorkesteret APO
440425,Her Personal Pain
411511,Hess Is More
138563,Hjemme Hos Lau
154534,Hjertestop (band)
655093,Hobo Ekspressen
349100,The Holiday Show
1087755,Holm Paakjær
1032261,Holtsø og Wittrock
1016495,Hos Anna
19722,Hot Eyes
926103,How Do I
450799,Howl Baby Howl
1080792,Hugorm (band)
699917,Hyldemor (musikgruppe)
258112,Hymns from Nineveh
154110,Hærværk (band)
355398,IdaAida
457490,Ikscheltaschel
942983,Impalers
440988,In-Joy
243707,Incontrollados
824199,InCrest
547545,Indianna Dawn
506809,Infernal Torment
14508,Grethe og Jørgen Ingmann
301218,Innocent Blood (musikgruppe)
500106,Intelligent Pushing
461141,Invocator
224039,JaConfetti
348269,Janes Rejoice
468302,Je m'appelle Mads
1052981,Jesu Brødre
457475,Jimi & René
301188,The Johanssons
1016220,Jonah Blacksmith
243568,Jordans Drive
819925,Julias Moon
1036168,Jung (band)
101376,Junior Senior
239740,Jutlandia Saxofonkvartet
88878,Kamikaze (band)
422209,Kandy Kolored Tangerine
734090,Kansas City Stompers
861164,Katinka band
522122,Keld & Hilda
496177,Keld & The Donkeys
972936,Keminova Cowboys
445116,Kenton Slash Demon
553674,Kill Screen Music
856585,Kim Larsen & Bellami
769524,Kim Larsen & Bell*Star
236834,King George Dixieland Stompers
247973,Kiss Kiss Kiss
197072,Kissaway Trail
435354,The Kites
669023,Klezmofobia
720572,Klyderne
301037,Know Your Fish
133852,Kongehuset (band)
256097,Kontra Kvartetten
492075,Koxbox
654821,Kúra
184252,Københavns Post-Orkester
795418,L.E.F. & De Langsomme Lyn
732542,L.I.G.A
411512,Lad De Små Børn Lege
87957,Larsen and Furious Jane
98951,Lazyboy
490568,Le Freak (dansk band)
246518,Lex & Klatten
548450,Licious people
445166,Lis & Per
396643,Lis Er Stille
396644,Lisa Vegas
178635,Livgardens Tambourkorps
177346,The Loft
468455,Los Valentinos
436997,Lovebites
110711,Lucie Baines
412930,Luke
410584,Lulu Rouge
1162594,Lust For Youth
248438,Lyngby-Taarbæk Mandolinorkester
160307,Løgn (band)
724260,Lørdagspigerne
355192,Mabel
349104,Maborosi
506824,Made in Denmark (band)
559930,Mafijah
1119627,Mansfield (band)
404316,Maria Timm
112589,Marie Key Band
440422,Marvel Hill
208811,Marvins Revolt
445471,Marybell Katastrophy
126184,Megalomania 999
654824,Mellemblond (band)
416671,Men Among Animals
435435,Micropop
426212,Mighty Midgets
975163,Mika og Tobias
378339,MikkelModulererMarius
353854,Mindmare
139366,Mindspray
1114104,Mister Jack and the Daniels
707144,Mixtune for Cully
404329,Mouritz/Hørslev Projektet
932425,Mr. Wilms
499346,Muddi og Salamidrengene
432232,Murder
366745,Musikk
315280,Naïve
181861,Naked Fish
396442,Napoleon Solo (band)
486865,Nechoes
331276,Nerve (band)
1066097,New Jungle Orchestra
420574,New Politics
413272,Nina & Frederik
219424,No Hope for the Kids
623069,No Shoes (band)
156075,Nordstrøm
901001,Olesen-Olesen
150485,Oliver North Boy Choir
152969,On Trial
427521,One-Eyed Mule
201864,Onkel Dum & Bananerne
85708,Outlandish
412953,Owusu & Hannibal
1030938,Pafpetakel
999119,Pakhus 1
435443,Panamah
47824,Papa Bues Viking Jazzband
207081,Papkasseshow
91344,Paragraf 119
441464,Passion Orange
433865,Passtime Poets
457464,People Press Play
700061,Phillias Fogg
479435,Pil & Liv
274823,Pimp-A-Lot
488408,Pin-Ups
484394,Pink Marines
960556,Place on Earth
237330,Playhouse
865709,Pligten Kalder
114973,Pluto (band)
1133793,Popsi og Krelle
720678,Port Friendly
143515,Powersolo
323853,Pretty Maids
648259,Prinsens Musikkorps
223891,Psychopomps
882477,På Slaget 12
405779,Quadron
187151,Racetrack Babies
417729,Racing Ape
251529,RaiDen
654804,Rangleklods
1083908,Reddi
436980,The Rhonda Harris
554166,Ridin’Thumb
445136,The River Phoenix
131979,The Rotten Leprechauns
314974,Rugsted & Kreutzfeldt
184613,Rumpistol
170559,Russia Heat
229280,Salem (band)
349175,Sania
158066,Santa Cruz (band)
459828,Scarlet Chives
766293,Scarlet Pleasure
315272,Scatterbrain
490301,Schweppenhäuser/Thomsen
131621,SEB (musikgruppe)
898336,Sedated Angel
737469,She talks
702018,Sink Ships
486333,Sinusstøv
950294,Sirius (band)
142212,The Skandals
232532,Skrammelorkestret BØWL
374114,Slaraffenland (musikgruppe)
376546,Slesvigske Musikkorps
939166,Slægt (band)
418779,Smile (dansk band)
418466,Snake And Jet's Amazing Bullit Band
469959,Snapshot (band)
936323,So I'm An Islander
300637,Sofamania
855254,Solbrud (band)
409598,Sort Stue
435395,Specs & Suni
123281,Spleen United
671080,Det danske stabsmusikkorps
85917,Starfuckers
484570,Stenrosen
398221,Sterling (band)
194772,Sticky
521449,Stig & Vennerne
237672,The Storm (dansk band)
445094,Strawberry Slaughterhouse
458835,Street Mechanics
418986,Striving Vines
461150,Strychnos
1032092,Den Danske Strygekvartet
520693,Studio Killers
433872,Stupid White Men
359344,Sunstroke PM
735772,Super Karla
716459,Superfuzz
205212,Surfact
169933,Sussi og Leo
435410,Svenstrup & Vendelboe
304892,Svogerslev Brass Band
66891,Swe-Danes
177665,Swing Jørgens Rytmecirkus
499662,Swing Sisters
537682,Syreregn (band)
899028,Sønderborg friv. Brandværnsorkester
425791,Sønderborg Pipes and Drums
820340,Søsterrock
383255,Søværnets Tamburkorps
1076427,Takykardia
1134915,Tears
483935,"Teddy, Chano, Jan & John"
513091,Telstar Sound Drone
235788,"Terje, Jesper & Joachim"
475010,Terminal (band)
688756,The Baronets
144286,The Contemporary Jazz Quintet
479426,The Copenhagen Collective
389834,The Elsinore Players
1154269,The Great Dictators
973094,The Grenadines
496163,The Kandidate
1065239,The Lejrbåls
644605,The Malpractice
1117795,The Overlords
1033231,The Reptones
185815,The Seven Mile Journey
337252,The Wong Boys
1063877,Theatre of Voices
418981,Thee Attacks
186916,Three Moses
937399,Thy Music Collective
101600,Tolkien Ensemble
781263,Tolsgaard & Pretzmann
370212,Torrpedorr
1045396,Total hip replacement (band)
886177,Tothe International
536121,Trax
445306,Treefight For Sunlight
416728,Trigbag
1140647,Trio con Brio Copenhagen
1051131,Trio Debil
370763,Trolle//Siebenhaar
218758,Turboweekend
440474,Tyggegummibanden
1135748,Tyrants & Kings
908651,Ude af kontrol
800205,Los Umbrellos
190089,Unafraid
203673,Uncle Muffin
425396,UTAH
124738,VETO (band)
896246,Vi sidder bare her
780533,Via Artis Konsort
399096,Vincent Van Go Go
268951,Viro
263429,Vocaloca
423164,Von Dü
399097,Vong Nguyet
354954,Vos
256704,VoxNorth
377567,When Saints Go Machine
407927,You Know Who
351566,Young Wasteners
983196,Aarhus Jazz Orchestra
420094,Østjydsk Musikforsyning
716601,8Ball
389637,A Kid Hereafter
345051,Alien Beat Club
279528,The Alligators
327371,Alphabeat
402864,Annasaid
1160408,APHACA (band)
66327,Aqua (band)
409893,Atoi
484199,Avalyn
243106,Bamses Venner
1003420,Barselona
558051,BeePop
1126706,Bikini (gruppe)
1113079,Blæst (band)
418711,The Bronson Brothers
14503,Brødrene Olsen
180826,C21
63455,Danser med Drenge
782887,Darleens
668320,Death Valley Sleepers
924803,Energy (musikgruppe)
115117,EyeQ
1016804,Fenders
219434,Five Tonnys
783494,Folkeklubben
188771,Frank Rubino
412983,The Gift
404073,Ginger Ninja
413244,Glamorama
917650,Halberg & Friends
469752,Hardinger Band
984046,Humørekspressen
355398,IdaAida
60759,Infernal
203383,Inside The Whale
992189,Jan & Kjeld
398051,Juice (musikgruppe)
418463,Juncker
874455,Kaputu
1165789,Kind mod Kind
360265,Kind of girl
584524,Klaus & Servants
131551,Laid Back
369468,Lecia & Lucienne
888192,Liss
856210,Little Trees
234958,The Lollipops
165728,Me & My
916560,"Me, She & Her"
998571,Mænd i Blåt
407872,Nice Device
412945,Nikolaj & Piloterne
646821,Noah (duo)
869065,Page Four
397418,Pelding
874390,Phlake
669368,Puls (band)
87185,Rocazino
165519,S.O.A.P.
101372,Sergeant Cane
1156934,Shirtsville
998645,Shubberne
173764,Sir Henry & His Butlers
48653,Souvenirs
405790,Stoffer & Maskinen
949043,Sweethearts
405828,The Late Parade
112638,Unite
871238,Virgin Suicide
695792,Wazzabi
686365,Zapp Zapp
1121376,Zar Paulo
1017692,Alzheimer Klinikken
115145,B.A.N.G.E.R.S.
1157549,B.O.C
850377,Benal
1023849,BFL
107819,Bumsestilen
903532,De Danske Hyrder
357534,Kinski
685054,MFS (musikgruppe)
952738,Molotov Movement
344405,Sound of Seduction
734687,Sphaeren
206147,Sund Fornuft (musikgruppe)
908651,Ude af kontrol
392306,200 (rockgruppe)
253591,Boys In A Band
847539,Chase (band)
847541,Mold
407975,Paradox
247579,The Dreams
445372,The Ghost
979210,Vsj
855248,Yggdrasil (band)
422269,IGNUG
661232,Afenginn
939525,Almune
869242,Asynje (band)
166721,De Gyldne Løver
732618,Dreamers' Circus
1046937,Floating Sofa Quartet
846064,Gny
976990,Heilung
557443,Hvalsøspillemændene
396615,Klondyke
150480,Lasse & Mathilde
858567,Of the Wand & the Moon
275039,Phønix
1000636,Quacks
376855,Rebild Spillemændene
257825,Sømændene
907976,The White Album (band)
341441,Trio Mio
870664,Trolska Polska
867843,Truppo Trotto
410317,Tørfisk (musikgruppe)
204274,Valravn (band)
204276,Virelai
408580,4Fod
418850,8210 (sanggruppe)
1157549,B.O.C
416626,Bring Det På
107819,Bumsestilen
161420,Experterne
79206,F.I.P.
250051,Fler Farver
209358,Flopstarz
173127,Humleridderne
727899,Kaliber (gruppe)
128417,Klart Dér!
182337,KNA Connected
370783,M-Cnatet
951990,MellemFingaMuzik
191943,Mirakl Crew
276281,Nobody Beats The Beats
397396,Organiseret Riminalitet
120873,Rent mel
278728,Revoltage
417732,Rockers By Choice
399211,Selvmord (gruppe)
405784,Specktors
734687,Sphaeren
79505,Suspekt (gruppe)
244325,The Gypsies
228927,Top Niveau Records
908651,Ude af kontrol
105766,UFO Yepha
732564,Ukendt Kunstner
762955,Vild Smith
494991,4 Guys From the Future
402502,Alcoholic Faith Mission
508591,Bazookahosen
1114082,Citizen Odin
1114107,Dangers of the Sea
562518,Escape Artists
233031,Gangway
404088,I Got You On Tape
396643,Lis Er Stille
436997,Lovebites
440422,Marvel Hill
453033,The Naked
436980,The Rhonda Harris
389637,A Kid Hereafter
255559,ADS (band)
118012,Amdi Petersens Armé
140567,Asbest (band)
263790,Baader-Meinhof (bandet)
143307,Ballet Mécanique (band)
451743,Before
502550,Black Badges
299905,Bollocks
303648,Brats
490065,Bubs
448785,Chainsaw Eaters
492653,City Roots
451774,City-X
218165,The Clochards
199043,Cola Freaks
491147,D-Day (band)
217706,Dream Police
488304,Elektrochok (band)
497612,Even Dwarfs
483672,Freshly Riots
486173,Gate Crashers
160734,Gorilla Angreb
154534,Hjertestop (band)
158425,Honning (band)
479972,Iceage
490071,Local Operator
40930,Lost Kids
491515,Mad Gustaf Band
487331,Martin and the Martians
452292,Melting Walkmen
499616,Monomania
153919,Niels På Dåse
489837,No Fun (band)
219424,No Hope for the Kids
486563,No Knox
491959,Normals
91344,Paragraf 119
488408,Pin-Ups
235996,President Fetch
490308,Prügelknaben
499470,Pubescent Hysteria
493082,Radar (band)
139591,Razorblades
438912,Skarpretter (band)
737309,Skullclub
86212,Sods
493875,Support (band)
488284,Tee Vee Pop
488298,Tina Talks
563425,Tristan T
233049,UCR
153766,Under Al Kritik
91524,War of Destruction
351566,Young Wasteners
493335,ZV Group
322926,100 Knives Inside
689230,Amaranthe
387332,The Arcane Order
205521,Artillery
143452,As We Fight
1002627,Baest
112695,Beyond Twilight
910521,Blood Label
361176,The Burning
276572,By the Patient
454040,The Cleansing
168080,Cyanotic
232332,Dawn of Demise
1007483,Defecto
117588,Düreforsög
792529,Essence (band)
1171838,Foon
1169650,Galge (band)
210509,HateSphere
905163,Heidra
785519,Huldre (band)
241082,Illnath
352158,Invisius
432879,Jackal
1137635,Konkhra
1169565,Lamentari
344745,Last Mile
1021757,Lifesick
99883,Memorial
631019,Mercenary
176835,Mnemic
344982,Nembience
343076,Nortt
1005160,ORM (band)
866543,Panzerchrist
551868,Pyramaze
348528,Raunchy
162747,Saturnus (band)
684261,September (hardrockgruppe)
477564,Seven Thorns
436431,Sortsind
85622,Stormslag
387825,Submission
496656,Svartsot
708051,The Interbeing
503037,Vanir
1159624,VOLA
504623,Fede Finn og Funny Boyz
329687,Kim & Hallo
249284,The Antonelli Orchestra
66327,Aqua (band)
359406,Barcode Brothers
89426,Bikstok
850575,Cargo
1008702,Crispy
286085,Cut'N'Move
127339,Daze
405170,Dr. Baker
432271,Hit'n'Hide
60759,Infernal
856210,Little Trees
165728,Me & My
1126701,Sunzet
120696,Toy-Box
912217,AmadeusEnsemblet
912287,Birkerød Kammerorkester
914192,Collegium Musicum (Danmark 1944)
916128,Det danske Ungdomsensemble
916231,Ensemble Felix
914539,Ensemble MidtVest
914613,Esbjerg Ensemble
911519,Århus Sinfonietta
485476,Able Gospel Choir
391720,Akademisk Kor
1005420,Akademisk Kor Århus
360521,Allerød Drengekor
132321,Ars Nova Copenhagen
137948,Copenhagen Gospel Choir
86686,Cæciliaforeningen
362802,Det Ny Kammerkor
249326,DR Koncertkoret
674947,DR Pigekoret
292994,DR VokalEnsemblet
385042,Det Danske Drengekor
1159465,Gospel-kids
273310,Gospelkoret Joyful Voices
148276,Herning Kirkes Drengekor
986798,Holbæk Sangkor
757232,Horne Mandskor af 1845
659352,IKI
704365,Kammerkoret Camerata
929143,Kammerkoret Gock
309022,Kastrup kammerkor
52027,Det Kongelige Danske Musikkonservatoriums Børnekor
184263,Københavns Bachkor
120881,Københavns Drengekor
1149431,Københavns Kammerkor
221811,Københavns Kantatekor
711211,Mellervang Koret
692569,Mogens Dahl Kammerkor
297219,Mosaik (kor)
1151076,Musica Ficta
179315,Oktoberkoret
98725,Roskilde Domkirkes Drengekor
151199,Sankt Annæ Pigekor
341279,Sct. Pauls Cantori
731917,Sokkelund Sangkor
921694,Staka
344734,Studenter-Sangforeningen
979531,Syngedrengene
1113928,Vocal Line
914192,Collegium Musicum (Danmark 1944)
914178,Collegium Musicum (Danmark 1981)
911716,Concerto Copenhagen
165504,Danmarks Underholdningsorkester
40852,DR Symfoniorkestret
736076,Kim Sjøgren and his The Little Mermaid Orchestra
39338,Det Kongelige Kapel
1006278,Lyngby-Taarbæk Symfoniorkester
37360,Odense Symfoniorkester
162784,Sjællands Symfoniorkester
10733,Sønderjyllands Symfoniorkester
369172,Aalborg Symfoniorkester
373862,Aarhus Symfoniorkester
